Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u,CP_Elec_6.3x7.7,132.588,-113.632,-90.0,top
C2,0.1u,C_0603_1608Metric,160.134,-75.565,0.0,top
C3,0.1u,C_0603_1608Metric,160.134,-78.075,0.0,top
C4,560p,C_0603_1608Metric,153.289,-61.1,90.0,top
C5,560p,C_0603_1608Metric,153.289,-70.345,-90.0,top
J1,Conn_01x02,AMASS_XT30U-F_1x02_P5.0mm_Vertical,123.571,-114.086,90.0,top
R1,348,R_0603_1608Metric,147.574,-104.902,180.0,top
R2,10k,R_0603_1608Metric,152.845,-79.308,0.0,top
R3,10k,R_0603_1608Metric,152.845,-81.818,0.0,top
R4,10k,R_0603_1608Metric,152.845,-84.074,0.0,top
R5,100,R_0603_1608Metric,199.898,-77.216,-90.0,top
R6,100,R_0603_1608Metric,202.057,-89.09,-90.0,top
R7,120,R_0603_1608Metric,145.987,-65.024,0.0,top
R8,100,R_0603_1608Metric,153.289,-64.198,90.0,top
R9,100,R_0603_1608Metric,153.289,-67.247,-90.0,top
R10,10k,R_0603_1608Metric,157.417,-71.12,180.0,top
R11,12k,R_0603_1608Metric,145.669,-86.677,-90.0,top
R12,2.4k,R_0603_1608Metric,145.669,-83.692,-90.0,top
U2,74LVC2G241DCTRE4,DCT8,161.163,-83.566,0.0,top
U3,MCP2551-I-SN,SOIC-8_3.9x4.9mm_P1.27mm,160.782,-65.786,180.0,top
VR1,PTH08080WAH,VREG_PTH08080WAH,146.234,-116.714,0.0,top
